source_channel,video_title,comment_text,target,stance,sentiment,tone,topic,interpretation_problem,reason
CălinGeorgescu-CanalulOficial,Călin Georgescu - Pacea de la București ( IPJ - 25.08.2025 ),"Multă sănătate dl. Președinte Călin Georgescu. Noi mergem până la capăt și vă dorim să fiți acceptat măcar președinte de scară de bloc. Și să nu fugiți în Dubai, rămâneți alături de noi. 🇷🇴",Călin Georgescu,CONTRA,NEGATIV,sarcastic,politică,nu,"Comentariul exprimă o ironie subtilă, sugerând că președintele nu este potrivit nici măcar pentru o funcție minoră ('președinte de scară de bloc') și îl sfătuiește să nu fugă în Dubai, implicând o lipsă de încredere sau o critică la adresa intențiilor sale."
@CălinGeorgescu-CanalulOficial,Călin Georgescu - De ce vorbim despre Eminescu când ne e greu? ( 2026.01.15 ),"Un discurs care trebuia sa vina de la Cotroceni! Multumim, d_le Calin Georgescu!",Călin Georgescu,PRO,POZITIV,apreciativ,discurs politic,nu,"Autorul își exprimă aprecierea față de Călin Georgescu, considerând că discursul său ar fi trebuit să vină de la Președinție (Cotroceni)."
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",Autoritatile abilitate sa intervina!!! De aceea sunt platiti de noi! Multumim recorder!!❤,Autoritățile,CONTRA,NEGATIV,revoltat,responsabilitate publică,nu,"Autorul critică autoritățile pentru lipsa de intervenție, sugerând că acestea nu își îndeplinesc datoria pentru care sunt plătite. Tonul este revoltat, iar sentimentul general este negativ."
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",In acest moment mai putem spune doar Dumnezeu sa ii apere pe cei care stau acolo sau trec pe acolo cu masina 😩,Persoanele care se află sau trec prin zona respectivă,NEUTRU,NEGATIV,îngrijorat,Siguranța într-o anumită zonă,nu,"Comentariul exprimă îngrijorare pentru siguranța persoanelor într-o anumită locație, sugerând că aceasta este periculoasă. Nu vizează o entitate politică specifică, ci mai degrabă o situație."
RecorderRomania,DOCUMENTAR RECORDER. Singuri,"E dureros.. e crunt.. simt vinovatie si recunostinta in acelasi timp pentru ca mie nu mi-a lipsit dragostea mamei si caldura familiei. Imi pare atat de rau ca nu toti au avut parte de asta ....cel mai tare doare ca ei traiesc cu traumele astea toata viata. Trecem pe langa oameni pe strada si in ignoranta noastra poate judecam cu superficialitate un gest, un cuvant urat pe care il auzim, dar nici prin minte nu ne trece ca omul acela altceva nu a vazut, nu a auzit.. sunt ingrozita de acest sistem bolnav care nu face nimic bun.. ""protectia copilului"".... ce-o mai fi si aia...Multumim, Recorder pentru ca ne puneti fata in fata cu o realitate de care nu suntem constienti!",Sistemul de protecție a copilului,CONTRA,NEGATIV,"revoltat, empatic","Protecția copilului, traumele copiilor",nu,"Autorul își exprimă durerea și revolta față de eșecurile sistemului de protecție a copilului, subliniind traumele pe care le suferă copiii și lipsa de conștientizare a societății. Tonul este empatic și revoltat."
RecorderRomania,Lecție de curaj. Conferința care a zguduit justiția din România,Cite dosare ați judecat și nu ați recuperat nici un prejudiciu,Sistemul judiciar/magistrații,CONTRA,NEGATIV,revoltat,justiție/corupție,nu,"Comentariul critică direct activitatea sistemului judiciar, sugerând ineficiență în recuperarea prejudiciilor în ciuda numărului mare de dosare judecate."
turcescu111,"Frică, foame, sărăcie ","Totul duce către: Noua Ordine Mondială, pentru a subjuga întreaga omenire..... Ei, și prin Agenda 2030, carmuieste într-acolo..... Și da, vor să ne omoare 90% din populatie.... Da, așa este o 'crimă' mondială, al treilea război mondial.","Noua Ordine Mondială, Agenda 2030",CONTRA,NEGATIV,revoltat,conspirație mondială,nu,"Autorul exprimă o poziție clară de opoziție față de 'Noua Ordine Mondială' și 'Agenda 2030', pe care le consideră periculoase și menite să subjuge omenirea. Sentimentul este negativ, iar tonul este revoltat, sugerând teamă și indignare față de aceste concepte."
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”","Un hot corupt arogant si nesimtit, caruia nimeni nu-i face nimic! 😡 Este ingrozitor!",Un hot corupt,CONTRA,NEGATIV,revoltat,corupție,nu,"Comentariul exprimă o puternică opoziție față de o persoană descrisă ca fiind 'hot corupt', folosind termeni depreciativi și un emoji de furie, indicând un sentiment negativ și un ton revoltat pe tema corupției."
RecorderRomania,Reportaj Recorder în noaptea alegerilor: Un președinte peste mai multe Românii,"4:30 și încă 1% rămas pentru Crin Alcoolescu, să aibă și el acolo ceva săracul",Crin Antonescu,CONTRA,NEGATIV,sarcastic,alegeri,nu,"Comentariul sugerează ironie legată de procentajul mic obținut de Crin Antonescu, sugerând că chiar și un procent mic este 'ceva' pentru el. Folosirea numelui 'Alcoolescu' în loc de 'Antonescu' accentuează tonul sarcastic și negativ."
RecorderRomania,Investigație din interiorul rețelei care te învață cum să păcălești statul #shorts,Vă mai dau niște firme din Galați care au alți administratori dar cu foști patroni,Firme din Galați,CONTRA,NEGATIV,acuzator,corupție,nu,"Comentariul sugerează o legătură suspectă între firme, administratori și foști patroni, implicând posibile practici ilegale sau corupție."
