source_channel,video_title,comment_text,model_output
CălinGeorgescu-CanalulOficial,Călin Georgescu - Pacea de la București ( IPJ - 25.08.2025 ),"Multă sănătate dl. Președinte Călin Georgescu. Noi mergem până la capăt și vă dorim să fiți acceptat măcar președinte de scară de bloc. Și să nu fugiți în Dubai, rămâneți alături de noi. 🇷🇴","```json
{
  ""target"": ""Călin Georgescu"",
  ""stance"": ""ambiguu"",
  ""sentiment"": ""ironie"",
  ""tone"": ""sarcastic"",
  ""topic"": ""Călin Georgescu"",
  ""interpretation_problem"": ""sarcasm"",
  ""bubble"": ""personalist-salvator""
}
```"
@CălinGeorgescu-CanalulOficial,Călin Georgescu - De ce vorbim despre Eminescu când ne e greu? ( 2026.01.15 ),"Un discurs care trebuia sa vina de la Cotroceni! Multumim, d_le Calin Georgescu!","```json
{
  ""target"": ""Călin Georgescu"",
  ""stance"": ""sustinator"",
  ""sentiment"": ""neutru"",
  ""tone"": ""neutru"",
  ""topic"": ""discurs politic"",
  ""interpretation_problem"": ""none"",
  ""bubble"": ""personalist-salvator""
}
```"
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",Autoritatile abilitate sa intervina!!! De aceea sunt platiti de noi! Multumim recorder!!❤,"```json
{
  ""target"": ""Autoritățile"",
  ""stance"": ""critic"",
  ""sentiment"": ""furie"",
  ""tone"": ""emotional"",
  ""topic"": ""Responsabilitatea autorităților"",
  ""interpretation_problem"": ""none"",
  ""bubble"": ""populist""
}
```"
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",In acest moment mai putem spune doar Dumnezeu sa ii apere pe cei care stau acolo sau trec pe acolo cu masina 😩,"```json
{
  ""target"": ""Primarul Negoiță"",
  ""stance"": ""critic"",
  ""sentiment"": ""frica"",
  ""tone"": ""emotional"",
  ""topic"": ""siguranta publica"",
  ""interpretation_problem"": ""none"",
  ""bubble"": ""intelectual-critic""
}
```"
RecorderRomania,DOCUMENTAR RECORDER. Singuri,"E dureros.. e crunt.. simt vinovatie si recunostinta in acelasi timp pentru ca mie nu mi-a lipsit dragostea mamei si caldura familiei. Imi pare atat de rau ca nu toti au avut parte de asta ....cel mai tare doare ca ei traiesc cu traumele astea toata viata. Trecem pe langa oameni pe strada si in ignoranta noastra poate judecam cu superficialitate un gest, un cuvant urat pe care il auzim, dar nici prin minte nu ne trece ca omul acela altceva nu a vazut, nu a auzit.. sunt ingrozita de acest sistem bolnav care nu face nimic bun.. ""protectia copilului"".... ce-o mai fi si aia...Multumim, Recorder pentru ca ne puneti fata in fata cu o realitate de care nu suntem constienti!","```json
{
  ""target"": ""sistemul de protecție a copilului"",
  ""stance"": ""critic"",
  ""sentiment"": ""dezamăgire"",
  ""tone"": ""emoțional"",
  ""topic"": ""traumele copiilor"",
  ""interpretation_problem"": ""none"",
  ""bubble"": ""intelectual-critic""
}
```"
RecorderRomania,Lecție de curaj. Conferința care a zguduit justiția din România,Cite dosare ați judecat și nu ați recuperat nici un prejudiciu,"```json
{
  ""target"": ""judecători/sistemul judiciar"",
  ""stance"": ""critic"",
  ""sentiment"": ""dezamagire"",
  ""tone"": ""analitic"",
  ""topic"": ""ineficiență justiție"",
  ""interpretation_problem"": ""none"",
  ""bubble"": ""intelectual-critic""
}
```"
turcescu111,"Frică, foame, sărăcie ","Totul duce către: Noua Ordine Mondială, pentru a subjuga întreaga omenire..... Ei, și prin Agenda 2030, carmuieste într-acolo..... Și da, vor să ne omoare 90% din populatie.... Da, așa este o 'crimă' mondială, al treilea război mondial.","```json
{
  ""target"": ""Noua Ordine Mondială, Agenda 2030"",
  ""stance"": ""critic"",
  ""sentiment"": ""frica"",
  ""tone"": ""emotional"",
  ""topic"": ""Conspirație globală"",
  ""interpretation_problem"": ""none"",
  ""bubble"": ""conspirationist""
}
```"
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”","Un hot corupt arogant si nesimtit, caruia nimeni nu-i face nimic! 😡 Este ingrozitor!","```json
{
  ""target"": ""Primarul Negoiță"",
  ""stance"": ""critic"",
  ""sentiment"": ""furie"",
  ""tone"": ""emotional"",
  ""topic"": ""Corupție și impunitate"",
  ""interpretation_problem"": ""none"",
  ""bubble"": ""populist""
}
```"
RecorderRomania,Reportaj Recorder în noaptea alegerilor: Un președinte peste mai multe Românii,"4:30 și încă 1% rămas pentru Crin Alcoolescu, să aibă și el acolo ceva săracul","```json
{
  ""target"": ""Crin Antonescu"",
  ""stance"": ""critic"",
  ""sentiment"": ""ironie"",
  ""tone"": ""sarcastic"",
  ""topic"": ""Rezultate electorale"",
  ""interpretation_problem"": ""none"",
  ""bubble"": ""intelectual-critic""
}
```"
RecorderRomania,Investigație din interiorul rețelei care te învață cum să păcălești statul #shorts,Vă mai dau niște firme din Galați care au alți administratori dar cu foști patroni,"```json
{
  ""target"": ""Firme din Galați"",
  ""stance"": ""critic"",
  ""sentiment"": ""neutru"",
  ""tone"": ""analitic"",
  ""topic"": ""Evaziune fiscală"",
  ""interpretation_problem"": ""none"",
  ""bubble"": ""intelectual-critic""
}
```"
